ID,GT,Retrived_Evidence,Full_Evidence,Intent_Enhanced
14729,FALSE,FALSE,HALF-TRUE,FALSE
14736,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14740,FALSE,HALF-TRUE,HALF-TRUE,TRUE
14745,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14752,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14755,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14756,FALSE,FALSE,HALF-TRUE,FALSE
14759,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14764,FALSE,FALSE,FALSE,HALF-TRUE
14769,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14780,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14783,HALF-TRUE,FALSE,HALF-TRUE,FALSE
14784,HALF-TRUE,HALF-TRUE,FALSE,FALSE
14790,FALSE,HALF-TRUE,FALSE,FALSE
14818,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14836,FALSE,FALSE,HALF-TRUE,HALF-TRUE
14843,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14849,FALSE,FALSE,HALF-TRUE,FALSE
14851,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14853,TRUE,HALF-TRUE,TRUE,HALF-TRUE
14854,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14860,HALF-TRUE,TRUE,HALF-TRUE,HALF-TRUE
14861,FALSE,FALSE,FALSE,HALF-TRUE
14874,FALSE,FALSE,HALF-TRUE,FALSE
14883,FALSE,FALSE,FALSE,HALF-TRUE
14910,FALSE,HALF-TRUE,FALSE,FALSE
14920,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14933,FALSE,FALSE,HALF-TRUE,FALSE
14936,FALSE,FALSE,HALF-TRUE,FALSE
14960,FALSE,HALF-TRUE,FALSE,HALF-TRUE
14972,FALSE,HALF-TRUE,FALSE,FALSE
14978,FALSE,HALF-TRUE,HALF-TRUE,FALSE
14984,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
14989,FALSE,HALF-TRUE,HALF-TRUE,HALF-TRUE
